track_id,track_artist,artist,track
0,DNA.;Kendrick Lamar,Kendrick Lamar,DNA.
295,Leflah;Heltah Skeltah,Heltah Skeltah,Leflah
296,How Does a Moment Last Forever;Céline Dion,Céline Dion,How Does a Moment Last Forever
297,Killing in the Name;Rage Against the Machine,Rage Against the Machine,Killing in the Name
298,Mask Off (remix);Kendrick Lamar,Kendrick Lamar,Mask Off (remix)
299,The Way I Am;Eminem,Eminem,The Way I Am
300,Magnolia;Playboi Carti,Playboi Carti,Magnolia
301,The Distance;Gavin Turek,Gavin Turek,The Distance
302,Fire and Desire;Teena Marie,Teena Marie,Fire and Desire
303,Fuckin' Up the Count;Freddie Gibbs,Freddie Gibbs,Fuckin' Up the Count
304,Lane;Lena,Lena,Lane
305,Anything;Neve,Neve,Anything
306,Gospel;Rich Chigga,Rich Chigga,Gospel
307,Starboy;The Weeknd,The Weeknd,Starboy
308,Bartender Song;Rehab,Rehab,Bartender Song
309,Beautiful;Prince,Prince,Beautiful
310,Tonight;Xscape,Xscape,Tonight
311,What Do You Mean;Justin Bieber,Justin Bieber,What Do You Mean
312,Pour Some Sugar;Def Leppard,Def Leppard,Pour Some Sugar
313,Or Nah;Ty Dolla $ign,Ty Dolla $ign,Or Nah
314,It's Working;William Murphy,William Murphy,It's Working
315,Breathe;Through Fire,Through Fire,Breathe
316,Another Sad Love Song;Khalid,Khalid,Another Sad Love Song
317,I Got It Made;Special Ed,Special Ed,I Got It Made
318,Still;Mali Music,Mali Music,Still
319,Passin' Me By;The Pharcyde,The Pharcyde,Passin' Me By
320,Sick of Losing Soulmates;dodie,dodie,Sick of Losing Soulmates
321,Let's Go;Khalid,Khalid,Let's Go
322,Everyday;Ariana Grande,Ariana Grande,Everyday
323,0 to 100;Drake,Drake,0 to 100
324,Me and You;Tony! Toni! Toné!,Tony! Toni! Toné!,Me and You
325,All This Love;DeBarge,DeBarge,All This Love
326,What You Won't Do For Love;Bobby Caldwell,Bobby Caldwell,What You Won't Do For Love
327,They Don't Know;Jon B.,Jon B.,They Don't Know
328,Don't Look Any Further;Dennis Edwards,Dennis Edwards,Don't Look Any Further
329,If I Had;Eminem,Eminem,If I Had
330,Don't Take It Personal;Monica,Monica,Don't Take It Personal
331,I'm a Fan;Jeremih,Jeremih,I'm a Fan
332,In Those Jeans;Ginuwine,Ginuwine,In Those Jeans
333,Can You Feel My Heart;Bring Me the Horizon,Bring Me the Horizon,Can You Feel My Heart
334,Young;The Chainsmokers,The Chainsmokers,Young
335,Learn Ya;6LACK,6LACK,Learn Ya
336,Lonely;NAV,NAV,Lonely
337,Fumble;Trey Songz,Trey Songz,Fumble
338,Waiting for My Ruca;Sublime,Sublime,Waiting for My Ruca
339,Don't Stop 'til You Get Enough;Michael Jackson,Michael Jackson,Don't Stop 'til You Get Enough
340,Get It Together;Black Coffee,Black Coffee,Get It Together
341,Keep Holding On;Avril Lavigne,Avril Lavigne,Keep Holding On
342,Teach Me a Lesson;Bryson Tiller,Bryson Tiller,Teach Me a Lesson
343,If You Let Me;Sinead Harnett,Sinead Harnett,If You Let Me
344,Hall of Fame;The Script,The Script,Hall of Fame
345,Prey;The Neighbourhood,The Neighbourhood,Prey
346,Statesboro Blues;The Allman Brothers Band,The Allman Brothers Band,Statesboro Blues
347,Drop It Off;Young Dolph,Young Dolph,Drop It Off
348,Inner City Blues;Marvin Gaye,Marvin Gaye,Inner City Blues
349,Dopamine;Bas,Bas,Dopamine
350,Electric;Alina Baraz,Alina Baraz,Electric
351,Outstanding;The Gap Band,The Gap Band,Outstanding
352,Under the Bridge;Red Hot Chili Peppers,Red Hot Chili Peppers,Under the Bridge
353,Be the One;Dua Lipa,Dua Lipa,Be the One
354,Truth;Kamasi Washington,Kamasi Washington,Truth
355,Strange Love;Halsey,Halsey,Strange Love
356,Lost in You;Three Days Grace,Three Days Grace,Lost in You
357,Suck It and See;Arctic Monkeys,Arctic Monkeys,Suck It and See
358,Green Light;John Legend,John Legend,Green Light
359,XO Tour LLIF3;Lil Uzi Vert,Lil Uzi Vert,XO Tour LLIF3
360,Ex's & Oh's;Elle King,Elle King,Ex's & Oh's
361,Whippin;Felix Snow,Felix Snow,Whippin
362,Escape;Kehlani,Kehlani,Escape
363,Lens;Frank Ocean,Frank Ocean,Lens
364,Die With You;Beyoncé,Beyoncé,Die With You
365,Don't Kill My Vibe;Sigrid,Sigrid,Don't Kill My Vibe
366,Garden;Emeli Sandé,Emeli Sandé,Garden
367,Scared of Lonely;Beyoncé,Beyoncé,Scared of Lonely
368,Lay Up Under Me;Beyoncé,Beyoncé,Lay Up Under Me
369,You're So Vain;Carly Simon,Carly Simon,You're So Vain
370,Second & Sebring;Of Mice & Men,Of Mice & Men,Second & Sebring
371,Gotta Have It;Kanye West,Kanye West,Gotta Have It
372,Rather Die Young;Beyoncé,Beyoncé,Rather Die Young
373,Set It Off;Bryson Tiller,Bryson Tiller,Set It Off
374,Toxic;Britney Spears,Britney Spears,Toxic
375,A.D.I.D.A.S;Korn,Korn,A.D.I.D.A.S
376,Sittin' On;Otis Redding,Otis Redding,Sittin' On
377,Impossible;James Arthur,James Arthur,Impossible
378,"A Country Boy Can Survive;Hank Williams, Jr.","Hank Williams, Jr.",A Country Boy Can Survive
379,Blow;Beyoncé,Beyoncé,Blow
380,What More Can I Say;NxWorries,NxWorries,What More Can I Say
381,Let's Stay Together;Al Green,Al Green,Let's Stay Together
382,Slip;Elliot Moss,Elliot Moss,Slip
383,"Palace/Curse;Tyler, the Creator","Tyler, the Creator",Palace/Curse
384,NIGGA;2Pac,2Pac,NIGGA
385,Salad Days;Mac DeMarco,Mac DeMarco,Salad Days
386,Right Here Waiting;Richard Marx,Richard Marx,Right Here Waiting
387,Forget Me Not;Patrice Rushen,Patrice Rushen,Forget Me Not
388,Bring the Pain;Method Man,Method Man,Bring the Pain
389,I Luv It;Jeezy,Jeezy,I Luv It
390,Crossroad;Bone Thugs-N-Harmony,Bone Thugs-N-Harmony,Crossroad
391,Is It a Crime;Sade,Sade,Is It a Crime
392,Little Respect;Erasure,Erasure,Little Respect
393,The One;Tamar Braxton,Tamar Braxton,The One
394,Talking to Myself;Watsky,Watsky,Talking to Myself
395,Despacito;Luis Fonsi,Luis Fonsi,Despacito
396,Arabella;Arctic Monkeys,Arctic Monkeys,Arabella
397,It's a Vibe;2 Chainz,2 Chainz,It's a Vibe
398,Paris;The Chainsmokers,The Chainsmokers,Paris
399,Don't Like;Kanye West,Kanye West,Don't Like
400,Trap;Gucci Mane,Gucci Mane,Trap
401,Distraction;Kehlani,Kehlani,Distraction
402,I Remember You;Skid Row,Skid Row,I Remember You
403,I Feel It Coming;The Weeknd,The Weeknd,I Feel It Coming
404,Take the Box;Amy Winehouse,Amy Winehouse,Take the Box
405,Remember I Told You;Nick Jonas,Nick Jonas,Remember I Told You
406,Dear God;Avenged Sevenfold,Avenged Sevenfold,Dear God
407,Why Don't We Fall in Love;Amerie,Amerie,Why Don't We Fall in Love
408,Play Date;Melanie Martinez,Melanie Martinez,Play Date
